trial,val_CRPS_log,learning_rate,n_estimators,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l2
1,0.141145,0.008468,206,223,91,0.799329,0.578009,3,0.000398
2,0.138718,0.013728,763,40,150,0.510292,0.984955,4,42.787435
3,0.153888,0.001004,260,251,77,0.762378,0.715973,1,0.140815
4,0.138749,0.009784,799,18,34,0.728035,0.892588,3,0.019714
5,,0.272635,584,58,70,0.840154,0.725250,2,49.352962
6,,0.246597,445,150,72,0.615447,0.620513,4,0.000540
7,0.138895,0.016851,305,18,100,0.629390,0.831261,2,0.035558
8,0.140615,0.003274,576,77,165,0.887566,0.969749,6,36.303893
9,,0.063320,561,40,59,0.922267,0.873660,7,9.384801
10,0.138917,0.007651,479,35,60,0.648137,0.582633,1,83.429880
11,,0.081836,571,28,82,0.907731,0.853429,3,5.508752
12,0.139795,0.031698,140,209,47,0.931552,0.811649,2,0.000374
13,0.141200,0.008290,198,102,191,0.818779,0.943606,1,0.019841
14,,0.255299,104,168,161,0.746898,0.761366,7,0.000463
15,0.138700,0.012254,340,28,71,0.781638,0.847758,5,0.003132
