epoch,train_loss,val_CRPS_log,val_CRPS_mm,val_Brier_flash,val_Brier_peak,val_Brier_acc
1,5.551234063,0.149214591,0.746666565,0.190425646,0.182743122,0.184500219
2,5.443933568,0.149625915,0.748506701,0.164754219,0.175334542,0.174802321
3,5.415925645,0.148072133,0.74473462,0.185565832,0.183167645,0.183420682
4,5.384818184,0.147797175,0.744043327,0.166372219,0.175385864,0.174002135
5,5.360578552,0.148974237,0.744924669,0.187755686,0.184953282,0.178954212
6,5.339983175,0.147906852,0.74293039,0.168612796,0.176618109,0.161607195
7,5.314610436,0.148219271,0.743033561,0.166678731,0.173751088,0.163440894
8,5.297321864,0.147854554,0.741535824,0.171463319,0.173202064,0.163792385
9,5.273117086,0.146916318,0.740713663,0.175886599,0.178424254,0.167638361
10,5.240887818,0.149515486,0.743129587,0.167286192,0.173219909,0.157907904
11,5.2204161,0.147455289,0.741494602,0.161814358,0.170626937,0.152482319
12,5.189833509,0.146796487,0.739779108,0.1616361,0.178635799,0.169027876
13,5.166372362,0.148090087,0.741211854,0.16600929,0.175107324,0.161928801
14,5.138677987,0.146304176,0.739232486,0.174773778,0.175678324,0.166594094
15,5.115048999,0.146129349,0.738911333,0.165347498,0.174400346,0.159231062
16,5.087044462,0.146059387,0.73883518,0.16711015,0.174576672,0.163001487
17,5.05395584,0.147620771,0.739681627,0.175287854,0.177595981,0.168441683
18,5.025515092,0.147280434,0.740656655,0.160764078,0.172494629,0.153657125
19,4.995319819,0.147111516,0.740855269,0.169349591,0.178894186,0.166430166
20,4.965026562,0.147155145,0.740846403,0.16538081,0.175582394,0.155553906
21,4.930069335,0.147193838,0.740479261,0.165701579,0.1752244,0.156442607
22,4.899739253,0.147123479,0.741509587,0.176298046,0.178884539,0.165021063
23,4.86668477,0.147247458,0.741521237,0.158787001,0.174392967,0.149603647
24,4.834189752,0.147252685,0.741711429,0.159701452,0.175541743,0.151437407
25,4.796644368,0.147389434,0.741043891,0.165927442,0.178317295,0.155945927
26,4.766331702,0.148179631,0.741992207,0.158051269,0.174105506,0.150710672
