trial,best_epoch,best_val_CRPS_log,best_val_mean_brier,ckpt_path,T_in,H_out,hidden,num_layers,dropout,lr,weight_decay,batch_size,epochs,quantiles,risk_heads,lambda_q,lambda_flash,lambda_peak,lambda_acc,lambda_phys,composite_obj
11,9,0.1480277196911021,0.1697040556284453,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_11/best_model.pt,16,8,128,2,0.1,0.0005,1e-06,8,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25,0.0823991522932228
5,10,0.1474086639470541,0.181636102592341,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_05/best_model.pt,16,8,128,2,0.1,0.0005,1e-06,8,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25,0.18270607523810942
10,6,0.1481831370534875,0.1829591582414475,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_10/best_model.pt,24,8,64,2,0.3,0.001,1e-05,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.0,0.3060509029480597
4,10,0.1483083541623887,0.1890556747236886,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_04/best_model.pt,24,8,64,2,0.3,0.001,1e-05,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.0,0.41606904769769476
3,10,0.148796307943187,0.1860798099293426,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_03/best_model.pt,24,8,64,3,0.2,0.002,1e-06,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25,0.43545084554585256
14,7,0.1497227710063844,0.1818234657032432,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_14/best_model.pt,32,8,64,1,0.2,0.001,1e-06,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.1,0.4935932583873846
7,4,0.1499839092417252,0.1798943699883746,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_07/best_model.pt,24,8,64,3,0.3,0.0005,0.0001,8,10,"[0.1, 0.5, 0.9]",True,1.0,2.0,2.0,2.0,0.25,0.4988132230326902
9,8,0.1492605609648929,0.190186784221007,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_09/best_model.pt,24,8,64,3,0.2,0.002,1e-06,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25,0.5601319227999897
6,5,0.1509005952143739,0.1774661324311836,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_06/best_model.pt,32,8,64,2,0.3,0.002,1e-05,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25,0.5836466237722439
1,6,0.1492615966653639,0.1929423722337088,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_01/best_model.pt,32,8,64,3,0.2,0.0005,1e-06,32,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.1,0.6024639369296997
12,10,0.1502048339366418,0.1861346393977859,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_12/best_model.pt,32,8,64,2,0.3,0.002,1e-05,16,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25,0.6237716612417901
8,8,0.1511651088051289,0.18164478679265,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_08/best_model.pt,32,8,128,1,0.2,0.002,1e-06,8,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25,0.6828390494521424
13,5,0.1495578520595962,0.1964023650655337,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_13/best_model.pt,24,8,64,3,0.3,0.0005,0.0001,8,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25,0.6948770416410833
0,9,0.1494544394503311,0.2023577234059946,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_00/best_model.pt,32,8,64,3,0.2,0.0005,1e-06,32,10,"[0.1, 0.5, 0.9]",True,1.0,2.0,2.0,2.0,0.1,0.772302080811833
2,4,0.1507532731201223,0.1965103257159434,/content/drive/MyDrive/Rainfall/Baselines/QuantileLSTM_Tuning/v1/trial_02/best_model.pt,32,8,128,1,0.2,0.002,1e-06,8,10,"(0.1, 0.5, 0.9)",True,1.0,2.0,2.0,2.0,0.25,0.8556461717208106
